file,title,license,license_url,attribution,source
darwin-wedgwood/Media/darwin-richard-litchfield-portrait.jpg,Richard Buckley Litchfield,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Richard Buckley Litchfield — Unknown nineteenth-century photographer, Darwin Correspondence Project / Cambridge University Library, Public domain",https://professorhedgehogsjournal.uk/2016/03/21/etty-before-aunthood/
darwin-wedgwood/Media/darwin-robert-waring-portrait.jpg,Robert Waring Darwin portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Robert Darwin.jpg — James Pardon, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Robert_Darwin.jpg
darwin-wedgwood/Media/darwin-sarah-wedgwood-portrait.jpg,Sarah Wedgwood portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Joshua Reynolds (1723-1792) - Sarah Wedgwood (1734–1815) - 5609 - V^A Wedgwood Collection.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Joshua_Reynolds_%281723-1792%29_-_Sarah_Wedgwood_%281734%E2%80%931815%29_-_5609_-_V%5EA_Wedgwood_Collection.jpg
darwin-wedgwood/Media/darwin-susannah-portrait.jpg,Susannah Darwin portrait,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Susannah Darwin nee Wedgwood.jpg — Paillou, Peter, the younger, Wikimedia Commons, CC BY 4.0",https://commons.wikimedia.org/wiki/File:Susannah_Darwin_nee_Wedgwood.jpg
darwin-wedgwood/Media/darwin-william-portrait.jpg,William Erasmus Darwin portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"William Darwin (cropped).jpg — Not credited, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:William_Darwin_%28cropped%29.jpg
darwin-wedgwood/Attachments/darwin-wedgwood-attachment-1.jpg,Emma Darwin with Charles Waring Darwin,Public domain,,http://www.bloodjournal.org/content/105/6/2614.2,https://commons.wikimedia.org/wiki/File:Emma_Darwin_with_Charles_Waring_Darwin.jpg
darwin-wedgwood/Attachments/darwin-wedgwood-attachment-2.jpg,The Wedgwood family at Leith Hill Place,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"The Wedgwood family at Leith Hill Place — reproduced in Henrietta Litchfield (ed.), Emma Darwin: A Century of Family Letters, vol. 1 (1915), Internet Archive; public domain; page rotated/cropped/resized.","https://commons.wikimedia.org/wiki/File:Emma_Darwin,_a_century_of_family_letters,_1792-1896_(IA_emmadarwincentur01litc).pdf"
curie-joliot/Media/curie-bronislawa-portrait.jpg,Bronisława Dłuska,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Bronisława Dłuska — Unknown photographer, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Bronis%C5%82awa_D%C5%82uska_(-1901).jpg
curie-joliot/Media/curie-eugene-portrait.jpg,Eugène Curie portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Curie, Jacques und Pierre mit Eltern.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Curie%2C_Jacques_und_Pierre_mit_Eltern.jpg
curie-joliot/Media/curie-eve-portrait.jpg,Ève Curie Labouisse portrait,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,"Ève Curie 1937.jpg — Valentine (Photographers), Wikimedia Commons, CC BY 4.0",https://commons.wikimedia.org/wiki/File:%C3%88ve_Curie_1937.jpg
curie-joliot/Media/curie-frederic-portrait.jpg,Frédéric Joliot-Curie portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Joliot-Curie Harcourt 1948 3.jpg — :Studio Harcourt, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Joliot-Curie_Harcourt_1948_3.jpg
curie-joliot/Media/curie-helena-portrait.jpg,Helena Szalay portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Helena Skłodowska-Szalay.jpg — unknown-anonymous, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Helena_Sk%C5%82odowska-Szalay.jpg
curie-joliot/Media/curie-irene-portrait.jpg,Irène Joliot-Curie portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Joliot-curie.jpg — Nobel Foundation, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Joliot-curie.jpg
curie-joliot/Media/curie-jacques-portrait.jpg,Jacques Curie with Pierre and their parents,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Jacques Curie with Pierre and their parents — Unknown photographer, Wikimedia Commons, Public domain","https://commons.wikimedia.org/wiki/File:Curie,_Jacques_und_Pierre_mit_Eltern.jpg"
curie-joliot/Media/curie-marie-portrait.jpg,Portrait of Marie Skłodowska-Curie (7 November 1867 – 4 July 1934),Public domain,,http://jasminkellner.com/wp-content/uploads/2015/03/Marie-Curie.jpg,https://commons.wikimedia.org/wiki/File:Marie_Curie_%281900%29_%28cropped%29.jpg
curie-joliot/Media/curie-michel-langevin-portrait.jpg,Michel Langevin portrait,CC BY-SA 4.0,https://creativecommons.org/licenses/by-sa/4.0/,"Michel Langevin.png — Photo de famille, Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:Michel_Langevin.png
curie-joliot/Media/curie-pierre-portrait.jpg,Pierre Curie portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Pierre Curie by Dujardin c1906.jpg — Dujardin, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Pierre_Curie_by_Dujardin_c1906.jpg
curie-joliot/Media/curie-sophie-portrait.jpg,Sophie-Claire Curie with her family,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Sophie-Claire Curie with her family — Unknown photographer, Wikimedia Commons, Public domain","https://commons.wikimedia.org/wiki/File:Curie,_Jacques_und_Pierre_mit_Eltern.jpg"
curie-joliot/Media/curie-wladyslaw-portrait.jpg,Władysław Skłodowski portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Sklodowski Family Wladyslaw and his daughters Maria Bronislawa Helena.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Sklodowski_Family_Wladyslaw_and_his_daughters_Maria_Bronislawa_Helena.jpg
curie-joliot/Attachments/curie-joliot-attachment-1.jpg,"Marie and Pierre Curie with Irène, 1903",Public domain,,https://www.newspapers.com/article/the-times-democrat-family-photo-of-marie/46976021,https://commons.wikimedia.org/wiki/File:Marie%2C_Pierre%2C_Irene_Curie_1903.jpg
curie-joliot/Attachments/curie-joliot-attachment-2.jpg,"Marie Curie with Irène and Ève, 1908",CC BY 4.0,https://creativecommons.org/licenses/by/4.0,https://wellcomeimages.org/indexplus/obf_images/23/67/7bb0c1eca6a69c6c939ecf65a65b.jpg Gallery: https://wellcomeimages.org/indexplus/image/L0001758.html Wellcome Collection gallery (2018-04-01): https://wellcomecollection.org/works/f794z77h CC-BY-4.0,https://commons.wikimedia.org/wiki/File:Portrait_of_Marie_Curie_and_her_daughters%2C_1908_Wellcome_L0001758.jpg
kennedy/Media/kennedy-john-portrait.jpg,"John F. Kennedy , photograph in the Oval Office.",Public domain,,This tag does not indicate the copyright status of the attached work. A normal copyright tag is still required. See Commons:Licensing .,https://commons.wikimedia.org/wiki/File:John_F._Kennedy%2C_White_House_color_photo_portrait.jpg
kennedy/Media/kennedy-patrick-joseph-portrait.jpg,Patrick Joseph Kennedy portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"PJ Kennedy.jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:PJ_Kennedy.jpg
kennedy/Media/kennedy-john-fitzgerald-portrait.jpg,John Francis Fitzgerald portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"J.F. Fitzgerald LCCN2014714230 (3x4a).jpg — Bain News Service, publisher, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:J.F._Fitzgerald_LCCN2014714230_%283x4a%29.jpg
kennedy/Media/kennedy-rose-portrait.jpg,Rose Elizabeth Fitzgerald Kennedy portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Rose Kennedy 1967.JPG — CBS Television, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Rose_Kennedy_1967.JPG
kennedy/Media/kennedy-joseph-jr-portrait.jpg,Joseph Patrick Kennedy Jr. portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Lt. Joseph P. Kennedy, Jr. Navy.JPG — John F. Kennedy Presidential Library & Museum, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Lt._Joseph_P._Kennedy%2C_Jr._Navy.JPG
kennedy/Media/kennedy-rosemary-portrait.jpg,Rose Marie Kennedy portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"TheKennedyFamily1.jpg — Photograph by Richard Sears in the John F. Kennedy Presidential Library and Museum, Boston., Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:TheKennedyFamily1.jpg
kennedy/Media/kennedy-kathleen-portrait.jpg,Kathleen Agnes Cavendish portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Lady Hartington.jpg — ""Photograph in the John F. Kennedy Presidential Library and Museum, Boston. "", Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Lady_Hartington.jpg
kennedy/Media/kennedy-eunice-portrait.jpg,Eunice Mary Kennedy Shriver portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Eunice Shriver - 1982 (cropped).jpg — Claire Flanders, photographer, Washington, D.C., Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Eunice_Shriver_-_1982_%28cropped%29.jpg
kennedy/Media/kennedy-patricia-portrait.jpg,Patricia Helen Kennedy Lawford portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Patricia Kennedy Lawford - circa 1948.jpg — Photograph in the John F. Kennedy Presidential Library and Museum, Boston., Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Patricia_Kennedy_Lawford_-_circa_1948.jpg
kennedy/Media/kennedy-robert-portrait.jpg,Robert Francis Kennedy portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Robert F. Kennedy.jpg — Harry Warnecke, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Robert_F._Kennedy.jpg
kennedy/Media/kennedy-jean-portrait.jpg,Jean Ann Kennedy Smith portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Jean Kennedy c1953.jpg — unattributed, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Jean_Kennedy_c1953.jpg
kennedy/Media/kennedy-edward-portrait.jpg,Edward Moore Kennedy portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Ted Kennedy, official photo portrait crop.jpg — *Ted_Kennedy,_official_photo_portrait.jpg: United States Senate *derivative work: Tktru ( talk ), Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Ted_Kennedy%2C_official_photo_portrait_crop.jpg
kennedy/Media/kennedy-jacqueline-portrait.jpg,Jacqueline Lee Kennedy Onassis portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Jackie Kennedy Color Portrait (3x4 cropped).jpg — Unknown author, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Jackie_Kennedy_Color_Portrait_%283x4_cropped%29.jpg
kennedy/Media/kennedy-sargent-shriver-portrait.jpg,Robert Sargent Shriver Jr. portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Sargent Shriver 1961.jpg — Rowland Scherman, Peace Corps, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Sargent_Shriver_1961.jpg
kennedy/Media/kennedy-peter-lawford-portrait.jpg,Peter Sydney Ernest Lawford portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Peter Lawford 1955.jpg — [https://archive.org/stream/radiotv00macf#page/2/mode/2up Macfadden Publications] page 2, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Peter_Lawford_1955.jpg
kennedy/Media/kennedy-stephen-smith-portrait.jpg,Stephen Edward Smith portrait,Public domain,https://creativecommons.org/publicdomain/mark/1.0/,"Stephen E. Smith 1963.jpg — Not stated, Wikimedia Commons, Public domain",https://commons.wikimedia.org/wiki/File:Stephen_E._Smith_1963.jpg
